index,title,told_by,told_to,moral,stories
1,the winning of friends,sharma,princes,winning of friends,"2,3,4,5,6,7,8,9,10"
2,the bharunda birds,gay neck,doves,natural enemies could be friends,3
3, gold's gloom,gold,"swift,slow",no one associateswith destitutes,4
4,mother shandilee's bargain,crop ear,wide bottom,dont accept bargain ,5
5,self-defeating forethought,brahmana,wife,indulgence in no excessive greed ,
6,mister duly,gold,"swift,slow","what is duly his, a man receives",
7,"soft, the weaver",slow,gold,hard work earns money,8
8,hang-ball and greedy,soft,figure,be satidfied with what you have,9
9,the mice that set elephant free,spot,slow,make friends however strong or weak`,10
10,spot's captivity,gold,spot,unity in friendship,
